Sn,movie_title,director_name,genres,imdb_score,budget
69,Monsters vs. Aliens,Rob Letterman,Action|Adventure|Animation|Comedy|Family|Sci-Fi,6.5,175000000
70,Iron Man,Jon Favreau,Action|Adventure|Sci-Fi,7.9,140000000
71,Hugo,Martin Scorsese,Adventure|Drama|Family|Mystery,7.5,170000000
72,Wild Wild West,Barry Sonnenfeld,Action|Comedy|Sci-Fi|Western,4.8,170000000
73,The Mummy: Tomb of the Dragon Emperor,Rob Cohen,Action|Adventure|Fantasy|Horror|Thriller,5.2,145000000
74,Suicide Squad,David Ayer,Action|Adventure|Comedy|Sci-Fi,6.9,175000000
75,Evan Almighty,Tom Shadyac,Comedy|Family|Fantasy,5.4,175000000
76,Edge of Tomorrow,Doug Liman,Action|Adventure|Sci-Fi,7.9,178000000
77,Waterworld,Kevin Reynolds,Action|Adventure|Sci-Fi|Thriller,6.1,175000000
78,G.I. Joe: The Rise of Cobra,Stephen Sommers,Action|Adventure|Sci-Fi|Thriller,5.8,175000000
79,Inside Out,Pete Docter,Adventure|Animation|Comedy|Drama|Family|Fantasy,8.3,175000000
80,The Jungle Book,Jon Favreau,Adventure|Drama|Family|Fantasy,7.8,175000000
81,Iron Man 2,Jon Favreau,Action|Adventure|Sci-Fi,7,200000000
82,Snow White and the Huntsman,Rupert Sanders,Action|Adventure|Drama|Fantasy,6.1,170000000
83,Maleficent,Robert Stromberg,Action|Adventure|Family|Fantasy|Romance,7,180000000
84,Dawn of the Planet of the Apes,Matt Reeves,Action|Adventure|Drama|Sci-Fi,7.6,170000000
86,47 Ronin,Carl Rinsch,Action|Adventure|Drama|Fantasy,6.3,175000000
87,Captain America: The Winter Soldier,Anthony Russo,Action|Adventure|Sci-Fi,7.8,170000000
88,Shrek Forever After,Mike Mitchell,Adventure|Animation|Comedy|Family|Fantasy,6.4,165000000
89,Tomorrowland,Brad Bird,Action|Adventure|Family|Mystery|Sci-Fi,6.5,190000000
90,Big Hero 6,Don Hall,Action|Adventure|Animation|Comedy|Drama|Family|Sci-Fi,7.9,165000000
91,Wreck-It Ralph,Rich Moore,Adventure|Animation|Comedy|Family|Sci-Fi,7.8,165000000
92,The Polar Express,Robert Zemeckis,Adventure|Animation|Family|Fantasy,6.6,165000000
93,Independence Day: Resurgence,Roland Emmerich,Action|Adventure|Sci-Fi,5.5,165000000
94,How to Train Your Dragon,Dean DeBlois,Adventure|Animation|Family|Fantasy,8.2,165000000
95,Terminator 3: Rise of the Machines,Jonathan Mostow,Action|Sci-Fi,6.4,200000000
96,Guardians of the Galaxy,James Gunn,Action|Adventure|Sci-Fi,8.1,170000000
97,Interstellar,Christopher Nolan,Adventure|Drama|Sci-Fi,8.6,165000000
98,Inception,Christopher Nolan,Action|Adventure|Sci-Fi|Thriller,8.8,160000000
100,The Hobbit: An Unexpected Journey,Peter Jackson,Adventure|Fantasy,7.9,180000000
101,The Fast and the Furious,Rob Cohen,Action|Crime|Thriller,6.7,38000000
102,The Curious Case of Benjamin Button,David Fincher,Drama|Fantasy|Romance,7.8,150000000
103,X-Men: First Class,Matthew Vaughn,Action|Adventure|Sci-Fi,7.8,160000000
104,The Hunger Games: Mockingjay - Part 2,Francis Lawrence,Adventure|Sci-Fi,6.6,160000000
105,The Sorcerer's Apprentice,Jon Turteltaub,Action|Adventure|Family|Fantasy,6.1,150000000
106,Poseidon,Wolfgang Petersen,Action|Adventure|Drama|Thriller,5.6,160000000
107,Alice Through the Looking Glass,James Bobin,Adventure|Family|Fantasy,6.4,170000000
108,Shrek the Third,Chris Miller,Adventure|Animation|Comedy|Family|Fantasy,6.1,160000000
109,Warcraft,Duncan Jones,Action|Adventure|Fantasy,7.3,160000000
110,Terminator Genisys,Alan Taylor,Action|Adventure|Sci-Fi,6.6,155000000
111,The Chronicles of Narnia: The Voyage of the Dawn Treader,Michael Apted,Adventure|Family|Fantasy,6.3,155000000
112,Pearl Harbor,Michael Bay,Action|Drama|History|Romance|War,6.1,140000000
113,Transformers,Michael Bay,Action|Adventure|Sci-Fi,7.1,150000000
114,Alexander,Oliver Stone,Action|Adventure|Biography|Drama|History|Romance|War,5.5,155000000
115,Harry Potter and the Order of the Phoenix,David Yates,Adventure|Family|Fantasy|Mystery,7.5,150000000
116,Harry Potter and the Goblet of Fire,Mike Newell,Adventure|Family|Fantasy|Mystery,7.6,150000000
117,Hancock,Peter Berg,Action|Drama,6.4,150000000
118,I Am Legend,Francis Lawrence,Drama|Horror|Sci-Fi,7.2,150000000
119,Charlie and the Chocolate Factory,Tim Burton,Adventure|Comedy|Family|Fantasy,6.7,150000000
120,Ratatouille,Brad Bird,Animation|Comedy|Family|Fantasy,8,150000000
121,Batman Begins,Christopher Nolan,Action|Adventure,8.3,150000000
122,Madagascar: Escape 2 Africa,Eric Darnell,Action|Adventure|Animation|Comedy|Family,6.7,150000000
123,Night at the Museum: Battle of the Smithsonian,Shawn Levy,Adventure|Comedy|Family|Fantasy,5.9,150000000
124,X-Men Origins: Wolverine,Gavin Hood,Action|Adventure|Fantasy|Sci-Fi|Thriller,6.7,150000000
125,The Matrix Revolutions,Lana Wachowski,Action|Sci-Fi,6.7,150000000
126,Frozen,Chris Buck,Adventure|Animation|Comedy|Family|Fantasy|Musical,7.6,150000000
127,The Matrix Reloaded,Lana Wachowski,Action|Sci-Fi,7.2,150000000
128,Thor: The Dark World,Alan Taylor,Action|Adventure|Fantasy,7.1,170000000
129,Mad Max: Fury Road,George Miller,Action|Adventure|Sci-Fi|Thriller,8.1,150000000
130,Angels & Demons,Ron Howard,Mystery|Thriller,6.7,150000000
131,Thor,Kenneth Branagh,Action|Adventure|Fantasy,7,150000000
132,Bolt,Byron Howard,Adventure|Animation|Comedy|Drama|Family,6.9,150000000
133,G-Force,Hoyt Yeatman,Action|Adventure|Animation|Comedy|Family|Fantasy|Sci-Fi,5.1,150000000
134,Wrath of the Titans,Jonathan Liebesman,Action|Adventure|Fantasy,5.8,150000000
135,Dark Shadows,Tim Burton,Comedy|Fantasy|Horror,6.2,100000000
136,Mission: Impossible - Rogue Nation,Christopher McQuarrie,Action|Adventure|Thriller,7.4,150000000
137,The Wolfman,Joe Johnston,Drama|Fantasy|Horror|Thriller,5.8,150000000
138,The Legend of Tarzan,David Yates,Action|Adventure|Drama|Romance,6.6,180000000
139,Bee Movie,Steve Hickner,Adventure|Animation|Comedy|Family,6.2,150000000
140,Kung Fu Panda 2,Jennifer Yuh Nelson,Action|Adventure|Animation|Comedy|Family,7.3,150000000
141,The Last Airbender,M. Night Shyamalan,Action|Adventure|Family|Fantasy,4.2,150000000
142,Mission: Impossible III,J.J. Abrams,Action|Adventure|Thriller,6.9,150000000
143,White House Down,Roland Emmerich,Action|Drama|Thriller,6.4,150000000
144,Mars Needs Moms,Simon Wells,Action|Adventure|Animation|Comedy|Family|Sci-Fi,5.4,150000000
145,Flushed Away,David Bowers,Adventure|Animation|Comedy|Family,6.7,149000000
146,Pan,Joe Wright,Adventure|Family|Fantasy,5.8,150000000
147,Mr. Peabody & Sherman,Rob Minkoff,Adventure|Animation|Comedy|Family|Sci-Fi,6.9,145000000
148,Troy,Wolfgang Petersen,Adventure,7.2,175000000
149,Madagascar 3: Europe's Most Wanted,Eric Darnell,Adventure|Animation|Comedy|Family,6.9,145000000
150,Die Another Day,Lee Tamahori,Action|Adventure|Thriller,6.1,142000000
151,Ghostbusters,Paul Feig,Action|Comedy|Fantasy|Sci-Fi,5.5,144000000
152,Armageddon,Michael Bay,Action|Adventure|Sci-Fi|Thriller,6.6,140000000
153,Men in Black II,Barry Sonnenfeld,Action|Adventure|Comedy|Family|Fantasy|Mystery|Sci-Fi,6.1,140000000
154,Beowulf,Robert Zemeckis,Action|Adventure|Animation|Fantasy,6.3,150000000
155,Kung Fu Panda 3,Alessandro Carloni,Action|Adventure|Animation|Comedy|Family,7.2,145000000
156,Mission: Impossible - Ghost Protocol,Brad Bird,Action|Adventure|Thriller,7.4,145000000
157,Rise of the Guardians,Peter Ramsey,Adventure|Animation|Family|Fantasy,7.3,145000000
158,Fun with Dick and Jane,Dean Parisot,Comedy|Crime,6.1,100000000
159,The Last Samurai,Edward Zwick,Action|Drama|History|War,7.7,140000000
160,Exodus: Gods and Kings,Ridley Scott,Action|Adventure|Drama,6.1,140000000
161,Star Trek,J.J. Abrams,Action|Adventure|Sci-Fi,8,150000000
162,Spider-Man,Sam Raimi,Action|Adventure|Fantasy|Romance,7.3,139000000
163,How to Train Your Dragon 2,Dean DeBlois,Action|Adventure|Animation|Comedy|Family|Fantasy,7.9,145000000
164,Gods of Egypt,Alex Proyas,Action|Adventure|Fantasy,5.5,140000000
165,Stealth,Rob Cohen,Action|Adventure|Sci-Fi|Thriller,5,135000000
166,Watchmen,Zack Snyder,Action|Drama|Mystery|Sci-Fi,7.7,130000000
167,Lethal Weapon 4,Richard Donner,Action|Crime|Thriller,6.6,140000000
168,Hulk,Ang Lee,Action|Sci-Fi,5.7,137000000
169,G.I. Joe: Retaliation,Jon M. Chu,Action|Adventure|Sci-Fi|Thriller,5.8,130000000
170,Sahara,Breck Eisner,Action|Adventure|Comedy|Thriller,6,130000000
171,Final Fantasy: The Spirits Within,Hironobu Sakaguchi,Action|Adventure|Animation|Fantasy|Romance|Sci-Fi,6.4,137000000
172,Captain America: The First Avenger,Joe Johnston,Action|Adventure|Sci-Fi,6.9,140000000
173,The World Is Not Enough,Michael Apted,Action|Adventure|Thriller,6.4,135000000
174,Master and Commander: The Far Side of the World,Peter Weir,Action|Adventure|Drama|History|War,7.4,150000000
175,The Twilight Saga: Breaking Dawn - Part 2,Bill Condon,Adventure|Drama|Fantasy|Romance,5.5,120000000
176,Happy Feet 2,George Miller,Animation|Comedy|Family|Musical,5.9,135000000
177,The Incredible Hulk,Louis Leterrier,Action|Adventure|Sci-Fi,6.8,150000000
179,The BFG,Steven Spielberg,Adventure|Family|Fantasy,6.8,140000000
180,The Revenant,Alejandro G. Iñárritu,Adventure|Drama|Thriller|Western,8.1,135000000
181,Turbo,David Soren,Adventure|Animation|Comedy|Family|Sport,6.5,135000000
182,Rango,Gore Verbinski,Adventure|Animation|Comedy|Family|Western,7.2,135000000
183,Penguins of Madagascar,Eric Darnell,Adventure|Animation|Comedy|Family,6.7,132000000
184,The Bourne Ultimatum,Paul Greengrass,Action|Mystery|Thriller,8.1,110000000
185,Kung Fu Panda,Mark Osborne,Action|Adventure|Animation|Comedy|Family,7.6,130000000
186,Ant-Man,Peyton Reed,Action|Adventure|Comedy|Sci-Fi,7.4,130000000
187,The Hunger Games: Catching Fire,Francis Lawrence,Adventure|Sci-Fi|Thriller,7.6,130000000
188,The Twilight Saga: Breaking Dawn - Part 2,Bill Condon,Adventure|Drama|Fantasy|Romance,5.5,120000000
189,Home,Tim Johnson,Adventure|Animation|Comedy|Family|Fantasy|Sci-Fi,6.7,135000000
190,War of the Worlds,Steven Spielberg,Adventure|Sci-Fi|Thriller,6.5,132000000
191,Bad Boys II,Michael Bay,Action|Comedy|Crime|Thriller,6.6,130000000
192,Puss in Boots,Chris Miller,Action|Adventure|Animation|Comedy|Family|Fantasy,6.7,130000000
193,Salt,Phillip Noyce,Action|Crime|Mystery|Thriller,6.4,110000000
194,Noah,Darren Aronofsky,Action|Adventure|Drama,5.8,125000000
195,The Adventures of Tintin,Steven Spielberg,Action|Adventure|Family|Mystery,7.4,135000000
196,Harry Potter and the Prisoner of Azkaban,Alfonso Cuarón,Adventure|Family|Fantasy|Mystery,7.8,130000000
197,Australia,Baz Luhrmann,Adventure|Drama|Romance|War,6.6,130000000
198,After Earth,M. Night Shyamalan,Action|Adventure|Sci-Fi,4.9,130000000
199,Dinosaur,Eric Leighton,Adventure|Animation|Family|Thriller,6.5,127500000
201,Night at the Museum: Secret of the Tomb,Shawn Levy,Adventure|Comedy|Family|Fantasy,6.2,127000000
202,Megamind,Tom McGrath,Action|Animation|Comedy|Family|Sci-Fi,7.3,130000000
203,Harry Potter and the Sorcerer's Stone,Chris Columbus,Adventure|Family|Fantasy,7.5,125000000
204,R.I.P.D.,Robert Schwentke,Action|Comedy|Fantasy,5.6,130000000
206,Pirates of the Caribbean: The Curse of the Black Pearl,Gore Verbinski,Action|Adventure|Fantasy,8.1,140000000
208,The Hunger Games: Mockingjay - Part 1,Francis Lawrence,Adventure|Sci-Fi|Thriller,6.7,125000000
209,The Da Vinci Code,Ron Howard,Mystery|Thriller,6.6,125000000
210,Rio 2,Carlos Saldanha,Adventure|Animation|Comedy|Family|Musical,6.4,103000000
211,X-Men 2,Bryan Singer,Action|Adventure|Fantasy|Sci-Fi|Thriller,7.5,110000000
212,Fast Five,Justin Lin,Action|Crime|Thriller,7.3,125000000
213,Sherlock Holmes: A Game of Shadows,Guy Ritchie,Action|Adventure|Crime|Mystery|Thriller,7.5,125000000
214,Clash of the Titans,Louis Leterrier,Action|Adventure|Fantasy,5.8,125000000
215,Total Recall,Paul Verhoeven,Action|Sci-Fi,7.5,65000000
216,The 13th Warrior,John McTiernan,Action|Adventure|History,6.6,85000000
217,The Bourne Legacy,Tony Gilroy,Action|Adventure|Thriller,6.7,125000000
218,Batman & Robin,Joel Schumacher,Action,3.7,125000000
219,How the Grinch Stole Christmas,Ron Howard,Comedy|Family|Fantasy,6,123000000
220,The Day After Tomorrow,Roland Emmerich,Action|Adventure|Sci-Fi|Thriller,6.4,125000000
221,Mission: Impossible II,John Woo,Action|Adventure|Thriller,6.1,125000000
222,The Perfect Storm,Wolfgang Petersen,Action|Adventure|Drama|Thriller,6.4,140000000
223,Fantastic 4: Rise of the Silver Surfer,Tim Story,Action|Adventure|Sci-Fi|Thriller,5.6,130000000
224,Life of Pi,Ang Lee,Adventure|Drama|Fantasy,8,120000000
225,Ghost Rider,Mark Steven Johnson,Action|Fantasy|Thriller,5.2,110000000
226,Jason Bourne,Paul Greengrass,Action|Thriller,7.1,120000000
227,Charlie's Angels: Full Throttle,McG,Action|Adventure|Comedy|Crime,4.8,120000000
228,Prometheus,Ridley Scott,Adventure|Mystery|Sci-Fi,7,130000000
229,Stuart Little 2,Rob Minkoff,Adventure|Animation|Comedy|Family|Fantasy,5.4,120000000
230,Elysium,Neill Blomkamp,Action|Drama|Sci-Fi|Thriller,6.6,115000000
231,The Chronicles of Riddick,David Twohy,Action|Adventure|Sci-Fi|Thriller,6.7,105000000
232,RoboCop,José Padilha,Action|Crime|Sci-Fi|Thriller,6.2,100000000
233,Speed Racer,Lana Wachowski,Action|Family|Sport,6.1,120000000
234,How Do You Know,James L. Brooks,Comedy|Drama|Romance,5.3,120000000
235,Knight and Day,James Mangold,Action|Comedy|Romance,6.3,117000000
236,Oblivion,Joseph Kosinski,Action|Adventure|Mystery|Sci-Fi,7,120000000
237,Star Wars: Episode III - Revenge of the Sith,George Lucas,Action|Adventure|Fantasy|Sci-Fi,7.6,113000000
238,Star Wars: Episode II - Attack of the Clones,George Lucas,Action|Adventure|Fantasy|Sci-Fi,6.7,115000000
239,"Monsters, Inc.",Pete Docter,Adventure|Animation|Comedy|Family|Fantasy,8.1,115000000
240,The Wolverine,James Mangold,Action|Adventure|Sci-Fi|Thriller,6.7,120000000
241,Star Wars: Episode I - The Phantom Menace,George Lucas,Action|Adventure|Fantasy|Sci-Fi,6.5,115000000
242,The Croods,Kirk De Micco,Adventure|Animation|Comedy|Family|Fantasy,7.3,135000000
244,Windtalkers,John Woo,Action|Drama|War,6,115000000
245,The Huntsman: Winter's War,Cedric Nicolas-Troyan,Action|Adventure|Drama|Fantasy,6.1,115000000
246,Teenage Mutant Ninja Turtles,Jonathan Liebesman,Action|Adventure|Comedy|Sci-Fi,5.9,125000000
247,Gravity,Alfonso Cuarón,Adventure|Drama|Sci-Fi|Thriller,7.8,100000000
248,Dante's Peak,Roger Donaldson,Action|Adventure|Thriller,5.8,116000000
249,Teenage Mutant Ninja Turtles: Out of the Shadows,Dave Green,Action|Adventure|Comedy|Sci-Fi,6.3,135000000
250,Fantastic Four,Josh Trank,Action|Adventure|Sci-Fi,4.3,120000000
251,Night at the Museum,Shawn Levy,Action|Adventure|Comedy|Family|Fantasy,6.4,110000000
252,San Andreas,Brad Peyton,Action|Adventure|Drama|Thriller,6.1,110000000
253,Tomorrow Never Dies,Roger Spottiswoode,Action|Adventure|Thriller,6.5,110000000
254,The Patriot,Roland Emmerich,Action|Drama|History|War,7.1,110000000
255,Ocean's Twelve,Steven Soderbergh,Crime|Thriller,6.4,110000000
256,Mr. & Mrs. Smith,Doug Liman,Action|Comedy|Crime|Romance|Thriller,6.5,120000000
257,Insurgent,Robert Schwentke,Adventure|Sci-Fi|Thriller,6.3,110000000
258,The Aviator,Martin Scorsese,Biography|Drama,7.5,110000000
259,Gulliver's Travels,Rob Letterman,Adventure|Comedy|Family|Fantasy,4.9,112000000
260,The Green Hornet,Michel Gondry,Action|Comedy|Crime|Sci-Fi|Thriller,5.8,120000000
261,300: Rise of an Empire,Noam Murro,Action|Drama|Fantasy|War,6.2,110000000
262,The Smurfs,Raja Gosnell,Adventure|Animation|Comedy|Family|Fantasy,5.5,110000000
263,Home on the Range,Will Finn,Animation|Comedy|Family|Music|Western,5.4,110000000
264,Allegiant,Robert Schwentke,Action|Adventure|Mystery|Sci-Fi|Thriller,5.8,110000000
265,Real Steel,Shawn Levy,Action|Drama|Sci-Fi|Sport,7.1,110000000
266,The Smurfs 2,Raja Gosnell,Adventure|Animation|Comedy|Family|Fantasy,5.4,105000000
267,Speed 2: Cruise Control,Jan de Bont,Action|Crime|Romance|Thriller,3.7,160000000
268,Ender's Game,Gavin Hood,Action|Sci-Fi,6.7,110000000
269,Live Free or Die Hard,Len Wiseman,Action|Adventure|Thriller,7.2,110000000
270,The Lord of the Rings: The Fellowship of the Ring,Peter Jackson,Action|Adventure|Drama|Fantasy,8.8,93000000
271,Around the World in 80 Days,Frank Coraci,Action|Adventure|Comedy,5.8,110000000
272,Ali,Michael Mann,Biography|Drama|Sport,6.8,107000000
273,The Cat in the Hat,Bo Welch,Adventure|Comedy|Family|Fantasy,3.8,109000000
274,"I, Robot",Alex Proyas,Action|Mystery|Sci-Fi|Thriller,7.1,120000000
275,Kingdom of Heaven,Ridley Scott,Action|Adventure|Drama|History|War,7.2,130000000
276,Stuart Little,Rob Minkoff,Adventure|Comedy|Family|Fantasy,5.9,133000000
277,The Princess and the Frog,Ron Clements,Animation|Family|Fantasy|Musical|Romance,7.1,105000000
278,The Martian,Ridley Scott,Adventure|Drama|Sci-Fi,8.1,108000000
280,The Island,Michael Bay,Action|Adventure|Romance|Sci-Fi|Thriller,6.9,126000000
281,Town & Country,Peter Chelsom,Comedy|Romance,4.4,90000000
282,Gone in Sixty Seconds,Dominic Sena,Action|Crime|Thriller,6.5,90000000
283,Gladiator,Ridley Scott,Action|Drama|Romance,8.5,103000000
284,Minority Report,Steven Spielberg,Action|Mystery|Sci-Fi|Thriller,7.7,102000000
285,Harry Potter and the Chamber of Secrets,Chris Columbus,Adventure|Family|Fantasy|Mystery,7.4,100000000
286,Casino Royale,Martin Campbell,Action|Adventure|Thriller,8,150000000
287,Planet of the Apes,Tim Burton,Action|Adventure|Sci-Fi|Thriller,5.7,100000000
288,Terminator 2: Judgment Day,James Cameron,Action|Sci-Fi,8.5,102000000
289,Public Enemies,Michael Mann,Biography|Crime|Drama|History|Romance,7,100000000
290,American Gangster,Ridley Scott,Biography|Crime|Drama,7.8,100000000
291,True Lies,James Cameron,Action|Comedy|Thriller,7.2,115000000
292,The Taking of Pelham 1 2 3,Tony Scott,Action|Crime|Thriller,6.4,100000000
293,Little Fockers,Paul Weitz,Comedy|Romance,5.5,100000000
294,The Other Guys,Adam McKay,Action|Comedy|Crime,6.7,100000000
295,Eraser,Chuck Russell,Action|Drama|Mystery|Thriller,6.1,100000000
296,Django Unchained,Quentin Tarantino,Drama|Western,8.5,100000000
297,The Hunchback of Notre Dame,Gary Trousdale,Animation|Drama|Family|Musical|Romance,6.9,100000000
298,The Emperor's New Groove,Mark Dindal,Adventure|Animation|Comedy|Family|Fantasy,7.3,100000000
299,The Expendables 2,Simon West,Action|Adventure|Thriller,6.7,92000000
300,National Treasure,Jon Turteltaub,Action|Adventure|Comedy|Family|Mystery,6.9,100000000
301,Eragon,Stefen Fangmeier,Action|Adventure|Family|Fantasy,5.1,100000000
302,Where the Wild Things Are,Spike Jonze,Adventure|Drama|Family|Fantasy,6.8,100000000
303,Pan,Joe Wright,Adventure|Family|Fantasy,5.8,150000000
304,Epic,Chris Wedge,Adventure|Animation|Family|Fantasy,6.7,100000000
305,The Tourist,Florian Henckel von Donnersmarck,Action|Romance|Thriller,6,100000000
306,End of Days,Peter Hyams,Action|Fantasy|Horror|Mystery,5.7,83000000
307,Blood Diamond,Edward Zwick,Adventure|Drama|Thriller,8,100000000
308,The Wolf of Wall Street,Martin Scorsese,Biography|Comedy|Crime|Drama,8.2,100000000
309,Batman Forever,Joel Schumacher,Action|Adventure|Fantasy,5.4,100000000
310,Starship Troopers,Paul Verhoeven,Action|Sci-Fi|War,7.2,105000000
311,Cloud Atlas,Tom Tykwer,Drama|Sci-Fi,7.5,102000000
312,Legend of the Guardians: The Owls of Ga'Hoole,Zack Snyder,Action|Adventure|Animation|Family|Fantasy,7,80000000
313,Catwoman,Pitof,Action|Crime|Fantasy|Romance|Thriller,3.3,100000000
314,Hercules,Brett Ratner,Action|Adventure,6,100000000
315,Treasure Planet,Ron Clements,Adventure|Animation|Family|Sci-Fi,7.1,140000000
316,Land of the Lost,Brad Silberling,Adventure|Comedy|Sci-Fi,5.4,100000000
317,The Expendables 3,Patrick Hughes,Action|Adventure|Thriller,6.1,90000000
318,Point Break,Ericson Core,Action|Crime|Sport|Thriller,5.3,105000000
319,Son of the Mask,Lawrence Guterman,Comedy|Family|Fantasy,2.2,84000000
